year,adoption,capability,cognitive_index,cognitive_debt,mental_health,decline_rate,users_at_risk_millions
2020,0.0,0.0625,98.0,2.0,0.125,0.35,0.0
2021,0.0,0.125,97.65,2.3499999999999943,0.12604999999999997,0.35,0.0
2022,0.01,0.25,97.29760117944419,2.702398820555814,0.12825119646166744,0.35239882055582145,16.4
2023,0.04,0.5,96.93309955119895,3.06690044880105,0.13277670134640315,0.3645016282452339,65.6
2024,0.091,1.0,96.53249611675434,3.467503883245655,0.13981291164973694,0.4006034344446093,149.23999999999998
2025,0.23325120000000002,2.0,95.98916296654406,4.0108370334559424,0.15771644838036783,0.5433331502102904,382.531968
2026,0.59786947584,4.0,94.93814579036193,5.061854209638071,0.2025818306650102,1.051017176182125,980.5059403775999
2027,0.95,8.0,93.09857922404565,6.9014207759543496,0.24838426232786304,1.8395665663162792,1557.9999999999998
2028,0.95,16.0,90.85253824516576,9.14746175483424,0.2551223852645027,2.2460409788798965,1557.9999999999998
2029,0.95,32.0,88.18257133946618,11.817428660533821,0.26313228598160143,2.6699669056995794,1557.9999999999998
2030,0.95,64.0,85.17010947788233,14.829890522117665,0.27216967156635297,3.0124618615838505,1557.9999999999998
2031,0.95,128.0,82.07627942773576,17.923720572264244,0.28145116171679274,3.0938300501465825,1557.9999999999998
2032,0.95,256.0,79.14062471662879,20.859375283371207,0.2902581258501136,2.9356547111069604,1557.9999999999998
2033,0.95,512.0,76.50482660159555,23.495173398404447,0.29816552019521336,2.6357981150332392,1557.9999999999998
2034,0.95,1024.0,74.14838738111419,25.85161261888581,0.3,2.35643922048137,1557.9999999999998
2035,0.95,2048.0,72.05073238304072,27.949267616959276,0.3,2.0976549980734647,1557.9999999999998
